plot_label,profile_name,ahp_profile,fuzzy_profile
P1,ahp_山口__fuzzy_山口,山口,山口
P2,ahp_山口__fuzzy_百武,山口,百武
P3,ahp_山口__fuzzy_貞方,山口,貞方
P4,ahp_百武__fuzzy_山口,百武,山口
P5,ahp_百武__fuzzy_百武,百武,百武
P6,ahp_百武__fuzzy_貞方,百武,貞方
P7,ahp_貞方__fuzzy_山口,貞方,山口
P8,ahp_貞方__fuzzy_百武,貞方,百武
P9,ahp_貞方__fuzzy_貞方,貞方,貞方
