plot_label,profile_name,ahp_profile,fuzzy_profile
P1,ahp_山口__fuzzy_山口,山口,山口
P2,ahp_山口__fuzzy_長田,山口,長田
P3,ahp_長田__fuzzy_山口,長田,山口
P4,ahp_長田__fuzzy_長田,長田,長田
